,Espèce,Nombre,Nombre corrigé,Di
0,Mullus surmuletus,9130,4908.2880000000005,0.8644472209230873
1,Trachurus trachurus,61864,18608.6912,1.000003778182628
2,Scomber scombrus,25327,12460.884,0.9592123904271277
3,Solea solea,17170,4216.952000000001,0.8490055307287134
4,Dicentrarchus labrax,2766,1856.5392,0.7655583191474451
5,Pagellus erythrinus,1926,1194.1200000000001,0.7206708177092116
6,Lithognathus mormyrus,494,460.408,0.6237307187924892
7,Scorpaena scrofa,2984,2840.768,0.8088240419579595
8,Sparus aurata,1439,1394.1032,0.7364206260214982
9,Diplodus vulgaris,4225,4225.0,0.8491994684091951
10,Sarda sarda,155,114.576,0.4822572551516321
11,Diplodus sargus,3401,3401.0,0.8271323236377003
12,Sarpa salpa,3333,3333.0,0.8250780062632102
13,Diplodus cervinus,759,759.0,0.6745771318905456
14,Mugil cephalus,80,80.0,0.4457198683452563
15,Sphyraena sphyraena,107,100.92240000000001,0.46935094076988354
16,Dentex dentex,1421,1421.0,0.7383643584720385
17,Symphodus tinca,2274,2274.0,0.7861888887427125
18,Phycis phycis,1250,1250.0,0.7253226766522315
19,Labrus viridis,509,509.0,0.6339363360835188
20,Diplodus puntazzo,1306,1306.0,0.7297804055980538
21,Seriola dumerili,196,196.0,0.5368658767174461
22,Lichia amia,23,23.0,0.31892824613679277
23,Pomatomus saltatrix,27,17.4744,0.29098118388145694
